Time (Seconds),Zombie Spawn,Mode
3,3,High
30,3,Low
60,2,Medium
90,3,High
120,2,Low
150,4,Low
180,3,Medium
210,2,Medium
240,2,High
270,1,Low
300,1,Low
330,2,High
360,2,Low
390,2,Medium
420,2,Medium
450,1,High
480,2,Medium
510,2,Medium
540,2,Low
570,2,Low
600,1,High
630,4,High
660,5,High
690,5,High
720,6,High
750,6,High
780,7,High
810,7,High
840,8,High
870,8,High
900,9,High
930,9,High
960,10,High
990,10,High
1020,11,High
1050,11,High
1080,12,High
1110,12,High
1140,13,High
1170,13,High
1200,14,High
